Kigo_Slug,Kigo_JP,Kigo_Romaji,Kigo_EN,Season,Category,Seq
atsushi,暑し,atsushi,hot,Summer,Season,160
suzushisa,涼しさ,suzushisa,coolness,Summer,Season,161
suzushi,涼し,suzushi,cool,Summer,Season,162
akichikashi,秋近し,akichikashi,autumn is near,Summer,Season,163
yorunoaki,夜の秋,yorunoaki,nights are autumn,Summer,Season,164
kumonomine,雲の峰,kumonomine,cloud peaks,Summer,Celestial,165
natsunotsuki,夏の月,natsunotsuki,summer moon,Summer,Celestial,166
aoarashi,青嵐,aoarashi,green gale,Summer,Celestial,167
kaze-kaoru,風薫る,kaze kaoru,scented breeze,Summer,Celestial,168
kunpu,薫風,kunpu,scented breeze,Summer,Celestial,169
yunagi,夕凪,yunagi,evening lull,Summer,Celestial,170
tsuyu,梅雨,tsuyu,rainy season,Summer,Celestial,171
samidare,五月雨,samidare,early summer rain,Summer,Celestial,172
yudachi,夕立,yudachi,evening downpour,Summer,Celestial,173
niji,虹,niji,rainbow,Summer,Celestial,174
kaminari,雷,kaminari,thunder,Summer,Celestial,175
satsukiyami,五月闇,satsukiyami,fifth month dark,Summer,Celestial,176
hizakari,日盛,hizakari,sun's might,Summer,Celestial,177
enten,炎天,enten,blazing heat,Summer,Celestial,178
minami,南風,minami,south wind,Summer,Celestial,179
hideri,旱,hideri,drought,Summer,Celestial,180
natsu-no-yama,夏の山,Natsu no yama,summer mountain,Summer,Landscape,181
natsuno,夏野,Natsuno,summer fields,Summer,Landscape,182
natsu-no-kawa,夏の川,Natsu no kawa,summer river,Summer,Landscape,183
natsu-no-umi,夏の海,Natsu no umi,summer ocean,Summer,Landscape,184
aota,青田,Aota,green ricefields,Summer,Landscape,185
izumi,泉,Izumi,spring,Summer,Landscape,186
shimizu,清水,Shimizu,pure water,Summer,Landscape,187
taki,滝,Taki,waterfall,Summer,Landscape,188
satsuki-fuji,五月富士,Satsuki Fuji,fifth month Mt. Fuji,Summer,Landscape,189
ueta,植田,Ueta,planted ricefields,Summer,Landscape,190
koromogae,更衣,Koromogae,change of garments,Summer,Life,191
usumono,羅,Usumono,silk kimono,Summer,Life,192
yukata,浴衣,Yukata,cotton kimono,Summer,Life,193
natsuboshi,夏帽子,Natsuboshi,summer hats,Summer,Life,194
korimizu,氷水,Korimizu,shaved ice,Summer,Life,195
natsuzashiki,夏座敷,Natsuzashiki,summer parlour,Summer,Life,196
sudare,簾（青簾）,sudare,blinds,Summer,Life,197
takamushiro,簀,takamushiro,bamboo mat,Summer,Life,198
tenkafun,天瓜粉,Tenkafun,talcum powder,Summer,Life,199
uchiwa,団扇,Uchiwa,round fan,Summer,Life,200
furin,風鈴,Furin,windbell,Summer,Life,201
somato,走馬灯,Somato,revolving lamp,Summer,Life,202
mushiboshi,虫干,Mushiboshi,insect airing,Summer,Life,203
taue,田植,Taue,rice-transplanting,Summer,Life,204
kusa-kari,草刈,Kusa kari,grass-cutting,Summer,Life,205
yana,魚簗,Yana,fish weir,Summer,Life,206
suzumi,納涼,Suzumi,cooling off,Summer,Life,207
hanabi,花火,Hanabi,fireworks,Summer,Life,208
natsu-yase,夏痩,Natsu yase,summer thinness,Summer,Life,209
tango,端午,Tango,,Summer,Life,210
koinobori,鯉幟,Koinobori,carp banners,Summer,Life,211
matsuri,祭,Matsuri,festivals,Summer,Observance,212
gione,祗園会,gione,gion Festival,Summer,Life,213
nagoshi,夏越,Nagoshi,summer purification,Summer,Life,214
mine-iri,峯入,Mine iri,entering the peak,Summer,Observance,215
busshoe,仏生会,Busshoe,buddha's birthday,Summer,Observance,216
kingyodama,金魚玉,Kingyodama,goldfish bowl,Summer,Life,217
mirukuseki,ミルクセーキ,mirukuseki,milk shake,Summer,Life,218
sodasui,ソーダ水,sodasui,soda water,Summer,Life,219
ukiningyo,浮人形,ukiningyo,floating toys,Summer,Life,220
hitoe,単衣,hitoe,unlined kimono,Summer,Life,221
shincha,新茶,Shincha,new tea,Summer,Life,222
mayu,繭,Mayu,cocoon,Summer,Life,223
ukai,鵜飼,Ukai,cormorant fishing,Summer,Life,224
gyozui,行水,Gyozui,tub-bath,Summer,Life,225
hashi-i,端居,Hashi-i,sit on veranda,Summer,Life,226
saotome,早乙女,Saotome,rice-planting women,Summer,Life,227
kanoko,鹿の子,Kanoko,fawn,Summer,Animals,228
komori,蝙蝠,Komori,bat,Summer,Animals,229
amagaeru,雨蛙,Amagaeru,rain frog,Summer,Animals,230
hikigaeru,蟇,Hikigaeru,toad,Summer,Animals,231
kajika,河鹿,Kajika,river frog,Summer,Animals,232
hototogisu,時鳥,hototogisu,lesser cuckoo,Summer,Animals,233
oi-uguisu,老鶯,Oi uguisu,old bush warbler,Summer,Animals,234
yoshikiri,葭切,yoshikiri,reed warbler,Summer,Animals,235
kawasemi,翡翠,Kawasemi,kingfisher,Summer,Animals,236
kuina,水鶏,Kuina,water rail,Summer,Animals,237
ayu-2,鮎,Ayu,sweet-fish,Summer,Animals,238
kingyo,金魚,Kingyo,goldfish,Summer,Animals,239
hatsugatsuo,初鰹,hatsugatsuo,first bonito,Summer,Animals,240
natsunomushi,夏の虫,natsunomushi,summer insects,Summer,Animals,241
hitorimushi-ga,火取虫（蛾）,hitorimushi (ga),moths,Summer,Animals,242
kemushi,毛虫,kemushi,caterpillar,Summer,Animals,243
hotaru,蛍,hotaru,firefly,Summer,Animals,244
semi,蝉,semi,cicada,Summer,Animals,245
utsusemi,空蝉,utsusemi,cicada shell,Summer,Animals,246
kabutomushi,兜虫,kabutomushi,beetle,Summer,Animals,247
hae,蝿,hae,flies,Summer,Animals,248
ka,蚊,ka,mosquito,Summer,Animals,249
ari,蟻,ari,ants,Summer,Animals,250
namekuji,蛞蝓,namekuji,slug,Summer,Animals,251
katatsumuri,蝸牛,katatsumuri,snail,Summer,Animals,252
NEEDS-SLUG-253,余花,,remnants of flowers,Summer,Plants,253
botan,牡丹,botan,tree peony,Summer,Plants,254
bara,薔薇,bara,rose,Summer,Plants,255
shakunage,石楠花,shakunage,rhododendron,Summer,Plants,256
hanatachibana,花橘,hanatachibana,citrus flower,Summer,Plants,257
ajisai,紫陽花,ajisai,hydrangea,Summer,Plants,258
aoume,青梅,aoume,green plums,Summer,Plants,259
natsukodachi,夏木立,natsukodachi,summer grove,Summer,Plants,260
shigeri,茂,shigeri,luxuriance,Summer,Plants,261
konoshitayami,木下闇,konoshitayami,under-trees darkness,Summer,Plants,262
shinju,新樹,shinju,new trees,Summer,Plants,263
wakaba,若葉,wakaba,young leaves,Summer,Plants,264
aoba,青葉,aoba,green leaves,Summer,Plants,265
wakakaede,若楓,wakakaede,young maple,Summer,Plants,266
tokiwagiochiba,常磐木落葉,tokiwagiochiba,evergreen fallen leaves,Summer,Plants,267
unohana,卯の花,unohana,deutzia flowers,Summer,Plants,268
ibaranohana,茨の花,ibaranohana,field rose,Summer,Plants,269
wakatake,若竹,wakatake,young bamboo,Summer,Plants,270
keshinohana,けしの花,keshinohana,poppy flowers,Summer,Plants,271
kakitsubata,杜若,kakitsubata,flower de luce,Summer,Plants,272
ayame,あやめ,ayame,blue flag,Summer,Plants,273
shobu,菖蒲,shobu,acorus,Summer,Plants,274
aoi,葵,aoi,hollyhock,Summer,Plants,275
himawari,向日葵,himawari,sunflower,Summer,Plants,276
suiren,睡蓮,suiren,water lily,Summer,Plants,277
yurinohana,百合（の花）,yurinohana,lily,Summer,Plants,278
ichigo,苺,ichigo,strawberries,Summer,Plants,279
urinohana,瓜（の花）,urinohana,melon flowers,Summer,Plants,280
takenoko,筍,takenoko,bamboo shoots,Summer,Plants,281
yugao,夕顔,yugao,moonflower,Summer,Plants,282
hasu,蓮,hasu,lotus,Summer,Plants,283
sanae,早苗,sanae,rice sprouts,Summer,Plants,284
natsukusa,夏草,natsukusa,summer grasses,Summer,Plants,285
